4.5,5.7654
4.5,0.1
4.5,13.9006
4.5,5.7577
4.5,0.1
4.5,13.9357
4.5,5.7646
4.5,0.1
4.5,13.9416
4.5,5.7615
4.5,0.1
4.5,13.9904
4.5,5.7621
4.5,0.1
4.603,5.6719
4.603,0.1
4.603,14.2214
4.603,5.664
4.603,0.1
4.603,14.2302
4.603,5.6699
4.603,0.1
4.603,14.2618
4.603,5.662
4.603,0.1
4.603,14.1819
4.603,5.6602
4.603,0.1
4.705,5.6034
4.705,0.1
4.705,14.5356
4.705,5.5955
4.705,0.1
4.705,14.5259
4.705,5.5859
4.705,0.1
4.705,14.5109
4.705,5.5587
4.705,0.1
4.705,14.5424
4.705,5.5896
4.705,0.1
4.808,5.4928
4.808,0.1
4.808,14.8851
4.808,5.5218
4.808,0.1
4.808,14.8409
4.808,5.4954
4.808,0.1
4.808,14.884
4.808,5.5046
4.808,0.1
4.808,14.8336
4.808,5.4894
4.808,0.1
4.91,5.402
4.91,0.1
4.91,15.1362
4.91,5.4026
4.91,0.1
4.91,15.1208
4.91,5.4149
4.91,0.1
4.91,15.1494
4.91,5.4207
4.91,0.1
4.91,15.1463
4.91,5.4231
4.91,0.1
5.013,5.336
5.013,0.1
5.013,15.4493
5.013,5.3415
5.013,0.1
5.013,15.3915
5.013,5.3269
5.013,0.1
5.013,15.4295
5.013,5.3167
5.013,0.1
5.013,15.4406
5.013,5.3306
5.013,0.1
5.115,5.2421
5.115,0.1
5.115,15.7015
5.115,5.25
5.115,0.1
5.115,15.7279
5.115,5.2509
5.115,0.1
5.115,15.7364
5.115,5.2283
5.115,0.1
5.115,15.7719
5.115,5.2589
5.115,0.1
5.218,5.1563
5.218,0.1
5.218,16.0097
5.218,5.1665
5.218,0.1
5.218,16.0219
5.218,5.1457
5.218,0.1
5.218,15.981
5.218,5.1577
5.218,0.1
5.218,15.9899
5.218,5.1589
5.218,0.1
5.321,5.0476
5.321,0.1
5.321,16.3056
5.321,5.0823
5.321,0.1
5.321,16.2905
5.321,5.0859
5.321,0.1
5.321,16.287
5.321,5.0855
5.321,0.1
5.321,16.2676
5.321,5.0653
5.321,0.1
5.423,4.9842
5.423,0.1
5.423,16.5602
5.423,4.9807
5.423,0.1
5.423,16.5607
5.423,4.9837
5.423,0.1
5.423,16.5838
5.423,4.9933
5.423,0.1
5.423,16.57
5.423,4.9823
